Comapny Name,Total ESG Risk Score,Environmental Risk Score,Social Risk Score,Governance Risk Score,Controversy Level
BOK Financial Corporation (BOKF),21.2,2.3,7.6,11.3,1
"Broadridge Financial Solutions, Inc. (BR)",16.6,4.2,7.5,4.9,2
"Brown & Brown, Inc. (BRO)",20.5,0.1,9.8,10.6,1
Brixmor Property Group Inc. (BRX),11.3,3.8,2.9,4.6,N/A
Boston Scientific Corporation (BSX),23.1,2.4,11.9,8.9,2
BorgWarner Inc. (BWA),12.6,2.7,4.2,5.7,2
Blackstone Inc. (BX),23.4,2.5,9.6,11.3,2
"Boston Properties, Inc. (BXP)",12.5,2.5,4.5,5.4,1
Citigroup Inc. (C),29.2,1.8,13.8,13.7,4
"Conagra Brands, Inc. (CAG)",30.8,10.7,15.4,4.7,2
"Cardinal Health, Inc. (CAH)",14.9,1.2,7.3,6.4,3
Caterpillar Inc. (CAT),36.2,10.4,17.7,8.1,4
Chubb Limited (CB),23.6,1.5,11.5,10.6,2
"Cboe Global Markets, Inc. (CBOE)",21.0,2.7,7.6,10.6,1
"CBRE Group, Inc. (CBRE)",8.0,1.5,1.9,4.6,1
"Commerce Bancshares, Inc. (CBSH)",23.7,2.0,9.4,12.2,1
Crown Castle Inc. (CCI),10.1,4.1,1.7,4.3,N/A
"Crown Holdings, Inc. (CCK)",10.4,6.1,0.9,3.5,1
Carnival Corporation & plc (CCL),24.5,9.4,10.1,5.0,3
"Cadence Design Systems, Inc. (CDNS)",12.0,2.3,4.9,4.8,N/A
CDW Corporation (CDW),9.2,2.5,3.2,3.5,N/A
Celanese Corporation (CE),26.1,14.7,5.9,5.6,2
Cerus Corporation (CERS),22.2,3.7,10.4,7.8,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
